date,emp_adjacent,emp_mta,emp_nys,pdiff_adjacent,pdiff_mta,pdiff_nys
2009-01-01,2005898.6666666667,4643195.666666667,6856287,0,0,0
2010-01-01,1949092.6666666667,4562824.666666667,6720164.666666667,-0.02831947642419952,-0.017309414844819182,-0.019853651595000743
2011-01-01,1963326.6666666667,4675060.333333333,6858730.666666667,-0.021223405103880322,0.006862658598564275,3.564125402957252e-4
2012-01-01,1988895.3333333333,4800186.333333333,7017674.333333333,-0.00847666615262721,0.033810909110226994,0.023538590688128025
2013-01-01,2000907,4883686.666666667,7114138,-0.002488493935220437,0.05179428507105066,0.03760796477743722
2014-01-01,2006880.6666666667,5022212,7263493,4.89556135770286e-4,0.08162833542731729,0.059391621150048035
2015-01-01,2033225,5171753.666666667,7433853.333333333,0.013622987934252428,0.11383496151034489,0.08423893768352064
2016-01-01,2067466.6666666667,5291977.333333333,7587855.666666667,0.030693474711916302,0.13972740182461973,0.10670041476774039
2017-01-01,2096029,5401843.666666667,7704800,0.04493264531807517,0.16338919452529344,0.12375692557794027
2018-01-01,2122658.3333333335,5507726.333333334,7825854,0.05820815807245827,0.18619302926928127,0.14141283758979162
2019-01-01,2134069.3333333335,5642839,7952794,0.06389688013485562,0.21529209731774523,0.15992723175094614
2020-01-01,2134788.6666666665,5684982,7990073.666666667,0.06425548914401769,0.22436838938584458,0.16536452844909588
2021-01-01,1966790.6666666665,4994006.333333333,7133727.666666667,-0.019496498327599254,0.07555371167860159,0.04046514777847943
2022-01-01,2092245.6666666667,5384961.666666667,7646395.666666667,0.04304654140056252,0.15975333654903046,0.11523856376879604
